seq,robot_id,source_timestamp_ns,adapter_receive_time_ns,adapter_publish_time_ns,adapter_publish_monotonic_ns,source_to_receive_ms,receive_to_publish_ms,publish_period_ms,x,y,z,yaw_rad,v_linear_x,v_linear_y,v_linear_z,v_angular_x,v_angular_y,v_angular_z
54,go2_001,5071445000000,1776851884785221144,1776851884788046734,29997035450763,1776846813340.221,2.826,49.823,0.715206,-1.008260,0.000000,-2.860869,-0.038106,0.007758,0.000000,0.000000,0.000000,-0.756033
55,go2_001,5071485000000,1776851884826388511,1776851884838251676,29997085654318,1776846813341.388,11.863,50.205,0.717235,-1.009892,0.000000,-2.865109,-0.037722,0.012194,0.000000,0.000000,0.000000,-0.220389
56,go2_001,5071525000000,1776851884868105073,1776851884888339138,29997135742493,1776846813343.105,20.234,50.087,0.716958,-1.010720,0.000000,-2.855165,-0.033117,0.012428,0.000000,0.000000,0.000000,0.101368
57,go2_001,5071580000000,1776851884930855218,1776851884938648989,29997186052053,1776846813350.855,7.794,50.310,0.714663,-1.007249,0.000000,-2.870288,-0.027032,0.001149,0.000000,0.000000,0.000000,-0.310884
58,go2_001,5071620000000,1776851884972237551,1776851884988002250,29997235404845,1776846813352.238,15.765,49.353,0.714491,-1.004708,0.000000,-2.888995,-0.026044,-0.004894,0.000000,0.000000,0.000000,-0.461467
59,go2_001,5071680000000,1776851885034050978,1776851885038042985,29997285445594,1776846813354.051,3.992,50.041,0.714491,-1.004846,0.000000,-2.919257,-0.022204,-0.004411,0.000000,0.000000,0.000000,-0.468826
60,go2_001,5071720000000,1776851885075404305,1776851885088328204,29997335730819,1776846813355.404,12.924,50.285,0.714263,-1.006675,0.000000,-2.950414,-0.018167,-0.000274,0.000000,0.000000,0.000000,-0.871463
61,go2_001,5071780000000,1776851885137574272,1776851885137981502,29997385384070,1776846813357.574,0.407,49.653,0.714019,-1.006294,0.000000,-3.027511,-0.014964,-0.001490,0.000000,0.000000,0.000000,-1.096402
62,go2_001,5071820000000,1776851885178594263,1776851885188016776,29997435419410,1776846813358.594,9.423,50.035,0.716334,-1.001311,0.000000,-3.052648,-0.021405,-0.011702,0.000000,0.000000,0.000000,-0.708452
63,go2_001,5071855000000,1776851885220156441,1776851885237985580,29997485388222,1776846813365.156,17.829,49.969,0.720641,-0.995687,0.000000,-3.072439,-0.032294,-0.021937,0.000000,0.000000,0.000000,-0.476880
64,go2_001,5071935000000,1776851885283024354,1776851885287982105,29997535384530,1776846813348.024,4.958,49.997,0.723190,-0.994296,0.000000,-3.109273,-0.032043,-0.021449,0.000000,0.000000,0.000000,-0.458058
65,go2_001,5071975000000,1776851885325061408,1776851885338247433,29997585649880,1776846813350.061,13.186,50.265,0.723257,-0.994476,0.000000,-3.102522,-0.028964,-0.019766,0.000000,0.000000,0.000000,-0.047180
66,go2_001,5072035000000,1776851885387186733,1776851885388077380,29997635479806,1776846813352.187,0.891,49.830,0.724010,-0.994723,0.000000,-3.105140,-0.026208,-0.017247,0.000000,0.000000,0.000000,-0.088351
67,go2_001,5072055000000,1776851885418105659,1776851885437989390,29997685391994,1776846813363.105,19.884,49.912,0.723902,-0.995100,0.000000,-3.112875,-0.024495,-0.015828,0.000000,0.000000,0.000000,-0.250146
68,go2_001,5072110000000,1776851885482440899,1776851885487977261,29997735379692,1776846813372.441,5.536,49.988,0.722015,-0.997839,0.000000,3.132236,-0.015973,-0.008820,0.000000,0.000000,0.000000,-0.605595
69,go2_001,5072170000000,1776851885523516918,1776851885538184325,29997785591829,1776846813353.517,14.667,50.207,0.722037,-0.997946,0.000000,3.095933,-0.013342,-0.007789,0.000000,0.000000,0.000000,-0.865036
70,go2_001,5072210000000,1776851885567271403,1776851885588001150,29997835403597,1776846813357.271,20.730,49.817,0.722052,-0.998017,0.000000,3.054298,-0.011764,-0.007163,0.000000,0.000000,0.000000,-0.937151
71,go2_001,5072270000000,1776851885630535851,1776851885638378600,29997885781780,1776846813360.536,7.843,50.377,0.721510,-1.001776,0.000000,2.985253,-0.007924,0.002551,0.000000,0.000000,0.000000,-1.155852
72,go2_001,5072305000000,1776851885673203345,1776851885687995506,29997935398038,1776846813368.203,14.792,49.617,0.719160,-1.003205,0.000000,2.948841,-0.001539,0.005582,0.000000,0.000000,0.000000,-0.895501
73,go2_001,5072365000000,1776851885723429698,1776851885737976518,29997985379055,1776846813358.430,14.547,49.981,0.715984,-1.004618,0.000000,2.916580,0.006524,0.008674,0.000000,0.000000,0.000000,-0.533328
74,go2_001,5072425000000,1776851885785867706,1776851885787901557,29998035304157,1776846813360.868,2.034,49.925,0.715861,-1.003790,0.000000,2.904883,0.006808,0.005908,0.000000,0.000000,0.000000,-0.181479
75,go2_001,5072465000000,1776851885827633521,1776851885838410337,29998085812831,1776846813362.634,10.777,50.509,0.715854,-1.003740,0.000000,2.900756,0.006728,0.005440,0.000000,0.000000,0.000000,-0.112504
76,go2_001,5072505000000,1776851885868913790,1776851885888004968,29998135407704,1776846813363.914,19.091,49.595,0.719651,-1.005594,0.000000,2.892525,-0.002917,0.008315,0.000000,0.000000,0.000000,-0.229138
77,go2_001,5072565000000,1776851885931299077,1776851885938206300,29998185609267,1776846813366.299,6.907,50.201,0.728740,-1.011898,0.000000,2.891848,-0.025375,0.018930,0.000000,0.000000,0.000000,-0.040996
78,go2_001,5072605000000,1776851885973559096,1776851885988772911,29998236175525,1776846813368.559,15.214,50.567,0.733366,-1.017907,0.000000,2.879245,-0.036323,0.029340,0.000000,0.000000,0.000000,-0.305982
79,go2_001,5072665000000,1776851886025490241,1776851886039621482,29998287024603,1776846813360.490,14.131,50.849,0.733112,-1.017930,0.000000,2.847027,-0.031401,0.025854,0.000000,0.000000,0.000000,-0.579466
80,go2_001,5072725000000,1776851886087772851,1776851886088251982,29998335654385,1776846813362.773,0.479,48.630,0.734109,-1.018514,0.000000,2.798560,-0.030255,0.023393,0.000000,0.000000,0.000000,-0.737514
81,go2_001,5072765000000,1776851886129300796,1776851886138008250,29998385411417,1776846813364.301,8.707,49.756,0.737304,-1.018315,0.000000,2.754727,-0.034925,0.019001,0.000000,0.000000,0.000000,-1.053998
82,go2_001,5072805000000,1776851886170636774,1776851886188031631,29998435434357,1776846813365.637,17.395,50.023,0.738945,-1.017983,0.000000,2.720626,-0.035632,0.015322,0.000000,0.000000,0.000000,-0.728895
83,go2_001,5072865000000,1776851886232452602,1776851886238062672,29998485465170,1776846813367.453,5.610,50.031,0.739146,-1.020629,0.000000,2.696380,-0.033460,0.018643,0.000000,0.000000,0.000000,-0.425046
84,go2_001,5072905000000,1776851886275030510,1776851886288466488,29998535869085,1776846813370.031,13.436,50.404,0.738939,-1.020686,0.000000,2.673645,-0.030308,0.017078,0.000000,0.000000,0.000000,-0.561231
85,go2_001,5072965000000,1776851886337526527,1776851886337964336,29998585367584,1776846813372.527,0.438,49.498,0.735663,-1.019530,0.000000,2.641417,-0.018455,0.014694,0.000000,0.000000,0.000000,-0.379031
86,go2_001,5073005000000,1776851886368637795,1776851886388354888,29998635757618,1776846813363.638,19.717,50.391,0.735599,-1.022597,0.000000,2.647153,-0.019443,0.020041,0.000000,0.000000,0.000000,-0.028523
87,go2_001,5073060000000,1776851886430792714,1776851886438163168,29998685565650,1776846813370.793,7.370,49.808,0.737329,-1.011240,0.000000,2.653717,-0.010446,-0.008011,0.000000,0.000000,0.000000,0.034076
88,go2_001,5073100000000,1776851886472723801,1776851886488811689,29998736214064,1776846813372.724,16.088,50.649,0.739036,-1.007572,0.000000,2.638180,-0.009305,-0.017043,0.000000,0.000000,0.000000,-0.338646
89,go2_001,5073160000000,1776851886535641433,1776851886538142951,29998785545613,1776846813375.641,2.502,49.331,0.740349,-1.007337,0.000000,2.609912,-0.009859,-0.017067,0.000000,0.000000,0.000000,-0.565630
90,go2_001,5073200000000,1776851886577727557,1776851886587996221,29998835399001,1776846813377.728,10.269,49.853,0.740351,-1.007419,0.000000,2.569169,-0.008629,-0.015764,0.000000,0.000000,0.000000,-0.872153
91,go2_001,5073235000000,1776851886620492169,1776851886639428399,29998886830989,1776846813385.492,18.936,51.432,0.738970,-1.008332,0.000000,2.520573,-0.005624,-0.011398,0.000000,0.000000,0.000000,-1.248242
92,go2_001,5073300000000,1776851886673868282,1776851886688167909,29998935570619,1776846813373.868,14.300,48.740,0.738934,-1.010215,0.000000,2.482363,-0.006177,-0.006418,0.000000,0.000000,0.000000,-0.661342
93,go2_001,5073355000000,1776851886736711139,1776851886737908050,29998985310598,1776846813381.711,1.197,49.740,0.738948,-1.009959,0.000000,2.460886,-0.004543,-0.006432,0.000000,0.000000,0.000000,-0.326900
94,go2_001,5073400000000,1776851886778692307,1776851886787964145,29999035366448,1776846813378.692,9.272,50.056,0.738984,-1.009993,0.000000,2.451106,-0.003726,-0.005971,0.000000,0.000000,0.000000,-0.177012
95,go2_001,5073435000000,1776851886821031196,1776851886837987996,29999085390398,1776846813386.031,16.957,50.024,0.739289,-1.010823,0.000000,2.439270,-0.004722,-0.004427,0.000000,0.000000,0.000000,-0.369434
96,go2_001,5073515000000,1776851886884681043,1776851886887985407,29999135388103,1776846813369.681,3.304,49.997,0.740305,-1.011999,0.000000,2.418592,-0.006832,-0.003081,0.000000,0.000000,0.000000,-0.207936
97,go2_001,5073535000000,1776851886925942315,1776851886938012332,29999185415546,1776846813390.942,12.070,50.027,0.741373,-1.012588,0.000000,2.420157,-0.009250,-0.003388,0.000000,0.000000,0.000000,-0.135112
98,go2_001,5073595000000,1776851886978074670,1776851886989596855,29999236999724,1776846813383.074,11.522,51.585,0.741567,-1.014104,0.000000,2.410715,-0.010112,-0.000589,0.000000,0.000000,0.000000,-0.248288
99,go2_001,5073635000000,1776851887019661463,1776851887038762123,29999286165062,1776846813384.662,19.101,49.165,0.741600,-1.012995,0.000000,2.383222,-0.007439,-0.002676,0.000000,0.000000,0.000000,-0.610538
100,go2_001,5073695000000,1776851887082399317,1776851887088417720,29999335820368,1776846813387.399,6.018,49.656,0.741566,-1.013024,0.000000,2.335066,-0.006016,-0.002396,0.000000,0.000000,0.000000,-0.752018
101,go2_001,5073750000000,1776851887124177105,1776851887139375891,29999386778502,1776846813374.177,15.199,50.958,0.742121,-1.014272,0.000000,2.289107,-0.007753,-0.000751,0.000000,0.000000,0.000000,-0.856430
102,go2_001,5073805000000,1776851887186276910,1776851887187974148,29999435377233,1776846813381.277,1.697,48.598,0.742521,-1.016393,0.000000,2.241274,-0.010425,0.002020,0.000000,0.000000,0.000000,-0.942798
103,go2_001,5073845000000,1776851887227085609,1776851887238158821,29999485561541,1776846813382.086,11.073,50.185,0.743353,-1.014625,0.000000,2.215603,-0.007711,-0.002485,0.000000,0.000000,0.000000,-0.632856
104,go2_001,5073885000000,1776851887268818973,1776851887288637578,29999536040063,1776846813383.819,19.819,50.479,0.742247,-1.014672,0.000000,2.196218,-0.005022,-0.000493,0.000000,0.000000,0.000000,-0.470371
105,go2_001,5073945000000,1776851887335964289,1776851887337908702,29999585311210,1776846813390.964,1.944,49.271,0.742216,-1.014694,0.000000,2.171000,-0.003929,-0.000463,0.000000,0.000000,0.000000,-0.350681
106,go2_001,5073985000000,1776851887376276697,1776851887388651172,29999636053943,1776846813391.277,12.374,50.742,0.742775,-1.015256,0.000000,2.164250,-0.005183,-0.000618,0.000000,0.000000,0.000000,-0.137674
107,go2_001,5074045000000,1776851887428182395,1776851887437965706,29999685368286,1776846813383.182,9.783,49.315,0.746232,-1.020452,0.000000,2.168016,-0.018341,0.000717,0.000000,0.000000,0.000000,0.064054
108,go2_001,5074065000000,1776851887448712338,1776851887488909878,29999736312822,1776846813383.712,40.198,50.944,0.746636,-1.021538,0.000000,2.171435,-0.020109,0.001488,0.000000,0.000000,0.000000,0.112403
109,go2_001,5074145000000,1776851887531469829,1776851887538189471,29999785592279,1776846813386.470,6.720,49.280,0.747006,-1.026917,0.000000,2.142540,-0.026402,0.007567,0.000000,0.000000,0.000000,-0.463327
110,go2_001,5074180000000,1776851887573207277,1776851887587998337,29999835401593,1776846813393.207,14.791,49.809,0.746880,-1.026768,0.000000,2.115165,-0.023948,0.006929,0.000000,0.000000,0.000000,-0.656486
111,go2_001,5074245000000,1776851887636056361,1776851887637951803,29999885354274,1776846813391.056,1.895,49.953,0.745727,-1.028457,0.000000,2.073843,-0.022457,0.010174,0.000000,0.000000,0.000000,-0.793086
112,go2_001,5074280000000,1776851887680199819,1776851887688085140,29999935492429,1776846813400.200,7.885,50.133,0.747685,-1.030704,0.000000,2.026055,-0.027730,0.008424,0.000000,0.000000,0.000000,-0.880172
113,go2_001,5074320000000,1776851887721134736,1776851887738049858,29999985452604,1776846813401.135,16.915,49.965,0.750316,-1.032486,0.000000,1.999275,-0.032306,0.004458,0.000000,0.000000,0.000000,-0.613643
114,go2_001,5074375000000,1776851887763363163,1776851887788038984,30000035442080,1776846813388.363,24.676,49.989,0.750472,-1.033249,0.000000,1.977585,-0.030246,0.004080,0.000000,0.000000,0.000000,-0.405908
115,go2_001,5074435000000,1776851887835700741,1776851887837922501,30000085325097,1776846813400.701,2.222,49.884,0.750260,-1.033251,0.000000,1.950311,-0.026203,0.003555,0.000000,0.000000,0.000000,-0.474436
116,go2_001,5074475000000,1776851887877813719,1776851887889087853,30000136490629,1776846813402.814,11.274,51.165,0.750153,-1.033670,0.000000,1.940642,-0.024687,0.003676,0.000000,0.000000,0.000000,-0.205627
117,go2_001,5074515000000,1776851887918559001,1776851887937987663,30000185390329,1776846813403.559,19.429,48.900,0.748816,-1.035975,0.000000,1.945764,-0.025935,0.008323,0.000000,0.000000,0.000000,0.051917
118,go2_001,5074575000000,1776851887983291475,1776851887988091457,30000235493853,1776846813408.292,4.800,50.104,0.754188,-1.034883,0.000000,1.939122,-0.025613,-0.005550,0.000000,0.000000,0.000000,-0.167015
119,go2_001,5074640000000,1776851888035028144,1776851888037952105,30000285354775,1776846813395.028,2.924,49.861,0.759996,-1.032886,0.000000,1.916428,-0.023210,-0.018902,0.000000,0.000000,0.000000,-0.297253
120,go2_001,5074680000000,1776851888076172296,1776851888087989925,30000335392545,1776846813396.172,11.818,50.038,0.759894,-1.032919,0.000000,1.896553,-0.020961,-0.017399,0.000000,0.000000,0.000000,-0.482260
121,go2_001,5074715000000,1776851888118416954,1776851888138069047,30000385471487,1776846813403.417,19.652,50.079,0.759693,-1.032890,0.000000,1.872363,-0.018915,-0.015989,0.000000,0.000000,0.000000,-0.650719
122,go2_001,5074775000000,1776851888180713226,1776851888188228582,30000435631141,1776846813405.713,7.515,50.160,0.758278,-1.032484,0.000000,1.796033,-0.014096,-0.011953,0.000000,0.000000,0.000000,-1.068050
123,go2_001,5074810000000,1776851888222005454,1776851888238125641,30000485528433,1776846813412.005,16.120,49.897,0.763635,-1.034411,0.000000,1.771275,-0.021337,-0.021855,0.000000,0.000000,0.000000,-0.663094
124,go2_001,5074895000000,1776851888286283075,1776851888288232550,30000535636988,1776846813391.283,1.949,50.107,0.771173,-1.040465,0.000000,1.739216,-0.034632,-0.030775,0.000000,0.000000,0.000000,-0.460705
125,go2_001,5074910000000,1776851888309571721,1776851888338017721,30000585420449,1776846813399.572,28.446,49.785,0.770895,-1.040388,0.000000,1.733859,-0.033005,-0.029451,0.000000,0.000000,0.000000,-0.420492
126,go2_001,5074990000000,1776851888384012949,1776851888388228133,30000635632102,1776846813394.013,4.215,50.210,0.770554,-1.040601,0.000000,1.723258,-0.027250,-0.024911,0.000000,0.000000,0.000000,0.045636
