seq,robot_id,timestamp_ns,publish_time_ns,publish_dt_ms,x,y,yaw_rad,yaw_deg,v_linear,v_angular
132,go2_001,1442375000000,1776178064766585792,49.973,0.112199,-0.167233,1.039818,59.577210,0.000000,-0.004135
133,go2_001,1442435000000,1776178064816686204,50.100,0.112199,-0.167233,1.039688,59.569706,0.000000,-0.015553
134,go2_001,1442475000000,1776178064866551004,49.865,0.112199,-0.167233,1.039970,59.585884,0.000000,-0.007628
135,go2_001,1442515000000,1776178064916698194,50.147,0.112199,-0.167233,1.039957,59.585167,0.000000,-0.006553
136,go2_001,1442595000000,1776178064966518855,49.821,0.112199,-0.167233,1.040065,59.591334,0.000000,-0.003728
137,go2_001,1442630000000,1776178065016593684,50.075,0.112199,-0.167232,1.040408,59.610987,0.000001,0.005646
138,go2_001,1442690000000,1776178065066526900,49.933,0.112199,-0.167232,1.040388,59.609865,0.000001,-0.008602
139,go2_001,1442730000000,1776178065116587401,50.061,0.112199,-0.167232,1.039704,59.570660,0.000001,-0.028247
140,go2_001,1442770000000,1776178065166601810,50.014,0.112199,-0.167232,1.039888,59.581221,0.000001,-0.005263
141,go2_001,1442810000000,1776178065216579611,49.978,0.112199,-0.167232,1.039583,59.563738,0.000001,-0.018001
142,go2_001,1442870000000,1776178065266571292,49.992,0.112199,-0.167232,1.039469,59.557206,0.000001,-0.013941
143,go2_001,1442930000000,1776178065316573617,50.002,0.112199,-0.167232,1.039258,59.545109,0.000001,-0.004466
144,go2_001,1442990000000,1776178065366546272,49.973,0.112199,-0.167232,1.040176,59.597676,0.000001,0.015146
145,go2_001,1443030000000,1776178065416548512,50.002,0.112199,-0.167232,1.040777,59.632111,0.000001,0.012518
146,go2_001,1443090000000,1776178065466734725,50.186,0.112199,-0.167232,1.041270,59.660373,0.000001,0.016594
147,go2_001,1443110000000,1776178065516589778,49.855,0.112199,-0.167232,1.040501,59.616322,0.000000,-0.013983
148,go2_001,1443170000000,1776178065566570422,49.981,0.112199,-0.167232,1.039433,59.555118,0.000000,-0.020697
149,go2_001,1443210000000,1776178065616552616,49.982,0.112199,-0.167232,1.039426,59.554735,0.000000,-0.001940
150,go2_001,1443290000000,1776178065666529236,49.977,0.112199,-0.167232,1.039530,59.560684,0.000000,-0.007325
151,go2_001,1443330000000,1776178065716550672,50.021,0.112199,-0.167232,1.040266,59.602869,0.000000,0.011521
152,go2_001,1443390000000,1776178065766560796,50.010,0.112199,-0.167232,1.040334,59.606755,0.000000,-0.001146
153,go2_001,1443430000000,1776178065816679818,50.119,0.112199,-0.167232,1.040157,59.596630,0.000000,-0.013522
154,go2_001,1443470000000,1776178065866557215,49.877,0.112199,-0.167232,1.039946,59.584530,0.000000,-0.001161
155,go2_001,1443510000000,1776178065916584150,50.027,0.112199,-0.167232,1.039714,59.571196,0.000000,-0.005934
156,go2_001,1443590000000,1776178065966607352,50.023,0.112199,-0.167232,1.039401,59.553284,0.000000,-0.016613
157,go2_001,1443630000000,1776178066016547992,49.941,0.112199,-0.167232,1.039610,59.565247,0.000000,-0.005401
158,go2_001,1443690000000,1776178066066457616,49.910,0.112199,-0.167232,1.039622,59.565971,0.000000,-0.005245
159,go2_001,1443730000000,1776178066116583106,50.125,0.112199,-0.167232,1.039488,59.558294,0.000000,-0.009306
160,go2_001,1443770000000,1776178066166582065,49.999,0.112199,-0.167232,1.039498,59.558861,0.000000,-0.006280
